Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees
2015,"Cedar Rapids, Iowa",16.3,212,21.6,280
2015,"Hamilton Township, Mercer County, New Jersey",18.6,166,22.7,202
2015,"Sioux City, Iowa",15,124,18.1,149
2015,"Irvine, California",7.9,203,11.5,298
2015,"Davis, California",8.4,56,13.7,92
2015,"Madera, California",8.7,56,11.5,74
2015,"Coral Gables, Florida",32.7,171,43.8,229
2015,"New Haven, Connecticut",32.6,425,36.8,480
2015,"Davie, Florida",17.5,176,24.3,244
2015,"Brockton, Massachusetts",19.3,183,21.4,203
2015,"West Bloomfield Township, Michigan",10.9,72,14.8,98
2015,"Bloomington, Minnesota",13.3,116,16.8,146
2015,"Toledo, Ohio",22.5,629,24.5,686
2015,"Hendersonville, Tennessee",18.7,105,23.3,131
2015,"Pasadena, Texas",17.5,272,22,341
2015,"Eugene, Oregon",11.3,183,19.3,312
2015,"Springfield, Illinois",20.6,241,23.1,270
2015,"Manchester, New Hampshire",19.5,216,24.6,272
2015,"Huntersville, North Carolina",15.9,84,17.2,91
2015,"Cherry Hill Township, New Jersey",18.2,130,22.1,158
2015,"Abilene, Texas",17.4,212,22.7,277
2015,"Fresno, California",13.5,702,18.4,959
2015,"Franklin Township, Somerset County, New Jersey",15.6,104,18.6,124
2015,"Bryan, Texas",16.6,136,20.7,170
2015,"West Des Moines, Iowa",10,65,12.8,83
2015,"Memphis, Tennessee",31,"2,040",36.3,"2,389"
2015,"Corona, California",9.6,157,13.6,222
2015,"Dothan, Alabama",23.6,163,34.2,236
2015,"New Rochelle, New York",19.8,159,27,217
2015,"Murrieta, California",7.8,85,11.5,126
2015,"Brookline, Massachusetts",21.7,129,25.7,153
2015,"Quincy, Massachusetts",22.1,207,25.5,239
2015,"Northern York Regional, Pennsylvania",7.2,49,7.7,53
2015,"Spokane, Washington",14.5,309,18.8,399
2015,"Grand Rapids, Michigan",14.6,285,18.6,364
2015,"College Station, Texas",12.8,135,17.9,190
2015,"East Hartford, Connecticut",23.3,119,30.4,155
2015,"Gresham, Oregon",10.7,119,13.4,149
2015,"Reading, Pennsylvania",18.2,160,21.2,186
2015,"Jonesboro, Arkansas",21,154,22.8,167
2015,"Lynn, Massachusetts",20,185,21.9,203
2015,"Hartford, Connecticut",33.2,413,36.8,458
2015,"Burbank, California",13.8,146,21.3,226
2015,"Missoula, Montana",14.6,103,17.7,125
2015,"Utica, New York",26.5,162,29,177
2015,"Meriden, Connecticut",20.3,122,22.1,133
2015,"Stratford, Connecticut",19.4,103,20.2,107
2015,"Sandy, Utah",11.6,107,15,138
2015,"Castle Rock, Colorado",11.4,66,15.6,90
2015,"Burnsville, Minnesota",11.8,73,14,87
2015,"Westminster, Colorado",15.9,180,22.5,256
2015,"Delray Beach, Florida",23.3,154,32.2,213
2015,"Fairfield, California",10.3,116,15.8,178
2015,"Fort Wayne, Indiana",17.4,451,19.7,511
2015,"Edinburg, Texas",16.8,143,23.3,198
2015,"Cedar Park, Texas",12.4,83,16.8,112
2015,"Mount Prospect, Illinois",15.4,85,18.7,103
2015,"Colonie Town, New York",13.6,108,18.5,147
2015,"Rocklin, California",8.8,54,13.3,81
2015,"Tulare, California",11.4,71,17.4,109
2015,"Sioux Falls, South Dakota",13.6,234,15.6,268
2015,"Livermore, California",9.7,86,14.8,131
2015,"Fargo, North Dakota",13.2,156,15.2,180
2015,"Fontana, California",8.9,185,13.2,274
2015,"Corvallis, Oregon",9.8,54,16.7,92
2015,"Orem, Utah",8.7,81,12.7,118
2015,"Duluth, Minnesota",17.5,151,20.4,176
2015,"Burien, Washington",10.3,52,14.2,72
2015,"Springdale, Arkansas",17.6,137,23.8,186
2015,"Edison Township, New Jersey",16.6,170,21.3,218
2015,"Minnetonka, Minnesota",10.4,54,13.5,70
2015,"Berwyn, Illinois",19.2,109,27.3,155
2015,"Overland Park, Kansas",13.2,247,15.8,295
2015,"San Francisco, California",25.9,"2,236",31.4,"2,711"
2015,"Nashua, New Hampshire",19.7,172,27,236
2015,"Coral Springs, Florida",15.6,202,23,298
2015,"Frederick, Maryland",21,145,26.7,185
2015,"West Jordan, Utah",9.3,105,12.4,140
2015,"Pittsburg, California",11,76,13.8,96
2015,"Chicopee, Massachusetts",24.7,138,25.7,144
2015,"Merced, California",9.7,80,14,115
2015,"San Jose, California",9.1,939,12.8,"1,325"
2015,"Broken Arrow, Oklahoma",11.9,126,17,180
2015,"Surprise, Arizona",10,128,14,180
2015,"La Mesa, California",10.6,63,15.4,92
2015,"Leesburg, Virginia",15,77,17.8,91
2015,"Charleston, South Carolina",33.1,439,40.2,533
2015,"San Rafael, California",10.6,63,14.4,86
2015,"Garden Grove, California",8.7,154,12.3,217
2015,"San Mateo, California",10.5,109,13.7,143
2015,"Wyoming, Michigan",11.1,84,13.1,99
2015,"Irondequoit Town, New York",9.9,51,11.9,61
2015,"Greenwich, Connecticut",24.1,152,28.4,179
2015,"Grand Island, Nebraska",16.8,87,20.1,104
2015,"Gastonia, North Carolina",21.8,162,24.8,184
2015,"Carlsbad, California",9.2,105,13.3,152
2015,"Schaumburg, Illinois",14.1,106,18.8,141
2015,"Howell Township, New Jersey",16.9,88,20,104
2015,"Pittsburgh, Pennsylvania",28.4,872,30.9,948
2015,"Henderson, Nevada",11.8,334,20.2,570
2015,"South Bend, Indiana",24.1,244,28.8,292
2015,"Columbus, Ohio",21.9,"1,855",26,"2,205"
2015,"San Bernardino, California",9.9,214,18.2,394
2015,"Allentown, Pennsylvania",17.7,211,19.5,233
2015,"Largo, Florida",17.8,141,22.3,177
2015,"Kalamazoo, Michigan",28.7,219,34.6,264
2015,"San Marcos, Texas",15.7,99,21.9,138
2015,"Napa, California",8.9,72,14.1,114
2015,"Brookhaven, Georgia",13.4,69,14.7,76
2015,"Nampa, Idaho",12.4,111,17.9,161
2015,"Detroit, Michigan",33.5,"2,255",36.2,"2,436"
2015,"White Plains, New York",32.8,191,34.6,202
2015,"Bayonne, New Jersey",27,180,43.9,292
2015,"Abington Township, Montgomery County, Pennsylvania",16,89,20.4,114
2015,"St. Joseph, Missouri",16.2,125,21.9,169
2015,"Redding, California",10.6,98,14,129
2015,"Wilmington, North Carolina",22.4,258,28.2,325
2015,"Royal Oak, Michigan",12.6,75,14.8,88
2015,"St. George, Utah",13.8,110,20,160
2015,"Baldwin Park, California",8.4,65,11.9,92
2015,"Upland, California",8.7,67,11.9,91
2015,"Salem, Oregon",11.4,187,19.2,313
2015,"San Leandro, California",10.1,91,14.8,134
2015,"Arvada, Colorado",14,162,19.8,228
2015,"Hampton, Virginia",21,287,29.3,400
2015,"Newport Beach, California",15.8,139,24.7,217
2015,"Allen, Texas",13,126,18,174
2015,"Glendora, California",9.3,48,15.7,81
2015,"Chattanooga, Tennessee",24.7,433,30.8,539
2015,"Glendale, Arizona",17.1,412,22.3,535
2015,"Boca Raton, Florida",17.9,166,27.5,256
2015,"Midland, Texas",12.5,166,16.1,213
2015,"Flint, Michigan",10,98,11.5,113
2015,"Rapid City, South Dakota",16.7,123,20.5,151
2015,"Marysville, Washington",9.2,61,13,86
2015,"Tulsa, Oklahoma",19.2,769,23.2,931
2015,"Albany, Oregon",11.5,60,17,89
2015,"Tigard, Oregon",13.2,68,16.1,83
2015,"Richmond, Virginia",33.2,732,40.1,885
2015,"Sammamish, Washington",5.2,27,6.3,33
2015,"Mount Pleasant, South Carolina",17.3,139,20,161
2015,"O'Fallon, Missouri",13.4,114,17.4,148
2015,"West Covina, California",8.2,89,13.8,150
2015,"Paterson, New Jersey",27.4,401,40.5,593
2015,"Citrus Heights, California",9.9,86,15.2,132
2015,"Springfield, Oregon",10.9,66,16.4,99
2015,"East Orange, New Jersey",33.6,219,41.7,272
2015,"Roswell, Georgia",14.5,138,20.3,194
2015,"Wichita Falls, Texas",17.4,183,26,274
2015,"Roseville, California",9.8,128,14.3,187
2015,"Meridian, Idaho",9.9,90,12.3,112
2015,"Lubbock, Texas",15.7,388,20.5,506
2015,"Warner Robins, Georgia",12.9,96,18.4,137
2015,"National City, California",13.3,81,18.4,112
2015,"Woodland, California",10.7,62,13.3,77
2015,"Inglewood, California",15.4,173,20,225
2015,"Maple Grove, Minnesota",9.5,65,11.4,78
2015,"Greeley, Colorado",14.4,144,20,200
2015,"Davenport, Iowa",15.3,158,17.8,184
2015,"Hamilton, Ohio",17.6,110,18.9,118
2015,"Homestead, Florida",16.8,112,22.8,152
2015,"Racine, Wisconsin",25,195,28.9,225
2015,"Waco, Texas",18,237,25,329
2015,"Fort Lauderdale, Florida",27.9,499,36.5,651
2015,"Lakewood, Colorado",17.8,270,28.4,429
2015,"Chula Vista, California",8.2,217,11.4,303
2015,"Coconut Creek, Florida",16.2,97,21.7,130
2015,"Washington, DC",56.9,"3,826",66.7,"4,487"
